"ABNORMAL WARMTH" "HEAT"
"ABNORMALLY DRY" "DROUGHT"
"ABNORMALLY WET" "ABNORMALLY WET"
"ACCUMULATED SNOWFALL" "ACCUMULATED SNOWFALL"
"ASTRONOMICAL HIGH TIDE" "STORM SURGE/TIDE"
"ASTRONOMICAL LOW TIDE" "ASTRONOMICAL LOW TIDE"
"AVALANCHE" "DEBRIS FLOW"
"BEACH EROSION" "BEACH EROSION"
"BLACK ICE" "BLACK ICE"
"BLIZZARD" "WINTER STORM"
"BLOWING DUST" "DUST STORM"
"BRUSH FIRE" "WILDFIRE"
"COASTAL FLOOD" "COASTAL FLOOD"
"COASTAL FLOODING" "COASTAL FLOOD"
"COLD" "COLD/WIND CHILL"
"COLD WEATHER" "COLD/WIND CHILL"
"COLD WIND CHILL TEMPERATURES" "COLD/WIND CHILL"
"COLD/WIND CHILL" "COLD/WIND CHILL"
"CSTL FLOODING/EROSION" "COASTAL FLOOD"
"DAM BREAK" "DAM BREAK"
"DENSE FOG" "DENSE FOG"
"DENSE SMOKE" "DENSE SMOKE"
"DROUGHT" "DROUGHT"
"DROWNING" "DROWNING"
"DRY" "DRY"
"DRY CONDITIONS" "DROUGHT"
"DRY MICROBURST" "THUNDERSTORM WIND"
"DRY SPELL" "DROUGHT"
"DUST DEVEL" "DUST DEVIL"
"DUST DEVIL" "DUST DEVIL"
"DUST STORM" "DUST STORM"
"EARLY SNOWFALL" "EARLY SNOWFALL"
"EXCESSIVE HEAT" "EXCESSIVE HEAT"
"EXCESSIVE HEAT/DROUGHT" "EXCESSIVE HEAT"
"EXTREME COLD" "EXTREME COLD/WIND CHILL"
"EXTREME COLD/WIND CHILL" "EXTREME COLD/WIND CHILL"
"EXTREME WINDCHILL" "EXTREME COLD/WIND CHILL"
"EXTREME WINDCHILL TEMPERATURES" "EXTREME COLD/WIND CHILL"
"EXTREMELY WET" "EXTREMELY WET"
"FALLING SNOW/ICE" "FALLING SNOW/ICE"
"FIRST SNOW" "FIRST SNOW"
"FLASH FLOOD" "FLASH FLOOD"
"FLASH FLOOD" "FLASH FLOOD"
"FLOOD" "FLOOD"
"FOG" "DENSE FOG"
"FREEZE" "FROST/FREEZE"
"FREEZING DRIZZLE" "SLEET"
"FREEZING FOG" "FREEZING FOG"
"FREEZING RAIN" "SLEET"
"FREEZING RAIN/SLEET" "SLEET"
"FROST" "FROST/FREEZE"
"FROST/FREEZE" "FROST/FREEZE"
"FUNNEL CLOUD" "FUNNEL CLOUD"
"FUNNEL CLOUDS" "FUNNEL CLOUD"
"GLAZE" "GLAZE"
"GRADIENT WIND" "STRONG WIND"
"GUSTY LAKE WIND" "STRONG WIND"
"GUSTY THUNDERSTORM WIND" "THUNDERSTORM WIND"
"GUSTY THUNDERSTORM WINDS" "THUNDERSTORM WIND"
"GUSTY WIND" "STRONG WIND"
"GUSTY WINDS" "STRONG WIND"
"HAIL" "HAIL"
"HARD FREEZE" "FROST/FREEZE"
"HAZARDOUS SURF" "HIGH SURF"
"HEAT" "HEAT"
"HEAVY RAIN" "HEAVY RAIN"
"HEAVY RAIN EFFECTS" "HEAVY RAIN"
"HEAVY SNOW" "HEAVY SNOW"
"HEAVY SURF" "HIGH SURF"
"HEAVY SURF/HIGH SURF" "HIGH SURF"
"HIGH SEAS" "HIGH SURF"
"HIGH SURF" "HIGH SURF"
"HIGH SURF ADVISORIES" "HIGH SURF"
"HIGH SURF ADVISORY" "HIGH SURF"
"HIGH SURF ADVISORY" "HIGH SURF"
"HIGH WATER" "HIGH WATER"
"HIGH WIND" "HIGH WIND"
"HURRICANE" "HURRICANE (TYPHOON)"
"HURRICANE/TYPHOON" "HURRICANE (TYPHOON)"
"ICE ON ROAD" "ICE ON ROAD"
"ICE STORM" "ICE STORM"
"ICE/SNOW" "ICE STORM"
"ICY ROADS" "ICY ROADS"
"LAKE-EFFECT SNOW" "LAKE-EFFECT SNOW"
"LAKE EFFECT SNOW" "LAKE-EFFECT SNOW"
"LAKESHORE FLOOD" "LAKESHORE FLOOD"
"LANDSLIDE" "DEBRIS FLOW"
"LANDSLUMP" "DEBRIS FLOW"
"LATE SEASON SNOW" "LATE SEASON SNOW"
"LIGHT FREEZING RAIN" "SLEET"
"LIGHT SNOW" "LIGHT SNOW"
"LIGHTNING" "LIGHTNING"
"LOCALLY HEAVY RAIN" "HEAVY RAIN"
"MARINE HAIL" "MARINE HAIL"
"MARINE HIGH WIND" "MARINE HIGH WIND"
"MARINE STRONG WIND" "MARINE HIGH WIND"
"MARINE THUNDERSTORM WIND" "MARINE THUNDERSTORM WIND"
"MARINE TSTM WIND" "MARINE THUNDERSTORM WIND"
"MIXED PRECIPITATION" "SLEET"
"MODERATE SNOWFALL" "MODERATE SNOWFALL"
"MONTHLY PRECIPITATION" "MONTHLY PRECIPITATION"
"MUD SLIDE" "DEBRIS FLOW"
"MUDSLIDE" "DEBRIS FLOW"
"NON-SEVERE WIND DAMAGE" "NON-SEVERE WIND DAMAGE"
"NON-TSTM WIND" "STRONG WIND"
"NON SEVERE HAIL" "HAIL"
"NON TSTM WIND" "STRONG WIND"
"NORTHERN LIGHTS" "NORTHERN LIGHTS"
"OTHER" "OTHER"
"PATCHY ICE" "FROST/FREEZE"
"PROLONG COLD" "COLD/WIND CHILL"
"PROLONG WARMTH" "HEAT"
"RAIN" "HEAVY RAIN"
"RECORD COLD" "EXCESSIVE HEAT"
"RECORD HEAT" "EXCESSIVE HEAT"
"RECORD LOW RAINFALL" "DROUGHT"
"RECORD RAINFALL" "HEAVY RAIN"
"RECORD SNOW" "HEAVY SNOW"
"RECORD SNOWFALL" "HEAVY SNOW"
"RECORD WARMTH" "EXCESSIVE HEAT"
"RED FLAG CRITERIA" "RED FLAG CRITERIA"
"RIP CURRENT" "RIP CURRENT"
"RIP CURRENTS" "RIP CURRENT"
"ROGUE WAVE" "HIGH SURF"
"ROUGH SEAS" "HIGH SURF"
"SEICHE" "SEICHE"
"SEVERE THUNDERSTORMS" "THUNDERSTORM WIND"
"SLEET" "SLEET"
"SLEET STORM" "SLEET"
"SMALL HAIL" "HAIL"
"SMOKE" "DENSE SMOKE"
"SNOW" "HEAVY SNOW"
"SNOW ADVISORY" "HEAVY SNOW"
"SNOW AND ICE" "HEAVY SNOW"
"SNOW DROUGHT" "SNOW DROUGHT"
"SNOW SHOWERS" "HEAVY SNOW"
"SNOW SQUALLS" "HEAVY SNOW"
"SNOW/BLOWING SNOW" "HEAVY SNOW"
"SNOW/FREEZING RAIN" "SLEET"
"SNOW/SLEET" "SLEET"
"SNOWMELT FLOODING" "FLOOD"
"STORM SURGE" "STORM SURGE/TIDE"
"STORM SURGE/TIDE" "STORM SURGE/TIDE"
"STRONG WIND" "STRONG WIND"
"STRONG WINDS" "STRONG WIND"
"THUNDERSTORM" "LIGHTNING"
"THUNDERSTORM WIND" "THUNDERSTORM WIND"
"THUNDERSTORM WIND (G40)" "THUNDERSTORM WIND"
"THUNDERSTORMS" "LIGHTNING"
"TIDAL FLOODING" "STORM SURGE/TIDE"
"TORNADO" "TORNADO"
"TORNADO DEBRIS" "TORNADO"
"TROPICAL DEPRESSION" "TROPICAL DEPRESSION"
"TROPICAL STORM" "TROPICAL STORM"
"TSTM WIND" "THUNDERSTORM WIND"
"TSTM WIND" "THUNDERSTORM WIND"
"TSTM WIND (G40)" "THUNDERSTORM WIND"
"TSTM WIND (G45)" "THUNDERSTORM WIND"
"TSTM WIND G45" "THUNDERSTORM WIND"
"TSTM WIND/HAIL" "THUNDERSTORM WIND"
"TSUNAMI" "TSUNAMI"
"UNSEASONABLY COLD" "COLD/WIND CHILL"
"UNSEASONABLY COOL" "COLD/WIND CHILL"
"UNSEASONABLY COOL & WET" "COLD/WIND CHILL"
"UNSEASONABLY DRY" "DROUGHT"
"UNSEASONABLY HOT" "HEAT"
"UNSEASONABLY WARM" "HEAT"
"UNSEASONABLY WARM & WET" "HEAT"
"UNSEASONABLY WARM/WET" "HEAT"
"UNSEASONABLY WET" "HEAT"
"UNSEASONAL LOW TEMP" "COLD/WIND CHILL"
"UNUSUALLY COLD" "COLD/WIND CHILL"
"UNUSUALLY LATE SNOW" "UNUSUALLY LATE SNOW"
"UNUSUALLY WARM" "HEAT"
"URBAN/SML STREAM FLD" "FLOOD"
"VERY DRY" "DROUGHT"
"VERY WARM" "HEAT"
"VOLCANIC ASH" "VOLCANIC ASH"
"VOLCANIC ASHFALL" "VOLCANIC ASH"
"WALL CLOUD" "WALL CLOUD"
"WARM WEATHER" "HEAT"
"WATERSPOUT" "FUNNEL CLOUD"
"WATERSPOUT" "FUNNEL CLOUD"
"WHIRLWIND" "TORNADO"
"WILD/FOREST FIRE" "WILD/FOREST FIRE"
"WILDFIRE" "WILDFIRE"
"WIND" "HIGH WIND"
"WIND ADVISORY" "HIGH WIND"
"WIND CHILL" "COLD/WIND CHILL"
"WIND DAMAGE" "HIGH WIND"
"WIND GUSTS" "HIGH WIND"
"WINTER STORM" "WINTER STORM"
"WINTER WEATHER" "WINTER WEATHER"
"WINTER WEATHER MIX" "WINTER WEATHER"
"WINTER WEATHER/MIX" "WINTER WEATHER"
"WINTRY MIX" "WINTER WEATHER"
"WND" "STRONG WIND"
