"events"
"ABNORMAL WARMTH"
"ABNORMALLY DRY"
"ABNORMALLY WET"
"ACCUMULATED SNOWFALL"
"AGRICULTURAL FREEZE"
"ASTRONOMICAL HIGH TIDE"
"ASTRONOMICAL LOW TIDE"
"AVALANCHE"
"BEACH EROSION"
"BITTER WIND CHILL"
"BITTER WIND CHILL TEMPERATURES"
"BLACK ICE"
"BLIZZARD"
"BLIZZARD SUMMARY"
"BLOW-OUT TIDE"
"BLOW-OUT TIDES"
"BLOWING DUST"
"BLOWING SNOW"
"BRUSH FIRE"
"COASTAL  FLOODING/EROSION"
"COASTAL EROSION"
"COASTAL FLOOD"
"COASTAL FLOOD"
"COASTAL FLOODING"
"COASTAL FLOODING/EROSION"
"COASTAL STORM"
"COASTALFLOOD"
"COASTALSTORM"
"COLD"
"COLD AND FROST"
"COLD AND SNOW"
"COLD TEMPERATURE"
"COLD TEMPERATURES"
"COLD WEATHER"
"COLD WIND CHILL TEMPERATURES"
"COLD/WIND CHILL"
"COOL SPELL"
"CSTL FLOODING/EROSION"
"DAM BREAK"
"DAMAGING FREEZE"
"DENSE FOG"
"DENSE SMOKE"
"DOWNBURST"
"DRIEST MONTH"
"DRIFTING SNOW"
"DROUGHT"
"DROWNING"
"DRY"
"DRY CONDITIONS"
"DRY MICROBURST"
"DRY SPELL"
"DRY WEATHER"
"DRYNESS"
"DUST DEVEL"
"DUST DEVIL"
"DUST STORM"
"EARLY FROST"
"EARLY RAIN"
"EARLY SNOWFALL"
"EROSION/CSTL FLOOD"
"EXCESSIVE COLD"
"EXCESSIVE HEAT"
"EXCESSIVE HEAT/DROUGHT"
"EXCESSIVE RAIN"
"EXCESSIVE RAINFALL"
"EXCESSIVE SNOW"
"EXCESSIVELY DRY"
"EXTENDED COLD"
"EXTREME COLD"
"EXTREME COLD/WIND CHILL"
"EXTREME WIND CHILL"
"EXTREME WINDCHILL"
"EXTREME WINDCHILL TEMPERATURES"
"EXTREMELY WET"
"FALLING SNOW/ICE"
"FIRST FROST"
"FIRST SNOW"
"FLASH FLOOD"
"FLASH FLOOD"
"FLASH FLOOD/FLOOD"
"FLASH FLOODING"
"FLOOD"
"FLOOD/FLASH FLOOD"
"FLOOD/FLASH/FLOOD"
"FLOOD/STRONG WIND"
"FOG"
"FREEZE"
"FREEZING DRIZZLE"
"FREEZING FOG"
"FREEZING RAIN"
"FREEZING RAIN/SLEET"
"FREEZING SPRAY"
"FROST"
"FROST/FREEZE"
"FUNNEL CLOUD"
"FUNNEL CLOUDS"
"GLAZE"
"GRADIENT WIND"
"GUSTY LAKE WIND"
"GUSTY THUNDERSTORM WIND"
"GUSTY THUNDERSTORM WINDS"
"GUSTY WIND"
"GUSTY WIND/HAIL"
"GUSTY WIND/HVY RAIN"
"GUSTY WIND/RAIN"
"GUSTY WINDS"
"HAIL"
"HAIL(0.75)"
"HAIL/WIND"
"HARD FREEZE"
"HAZARDOUS SURF"
"HEAT"
"HEAT WAVE"
"HEATBURST"
"HEAVY PRECIPITATION"
"HEAVY RAIN"
"HEAVY RAIN AND WIND"
"HEAVY RAIN EFFECTS"
"HEAVY RAIN/HIGH SURF"
"HEAVY RAIN/WIND"
"HEAVY RAINFALL"
"HEAVY SEAS"
"HEAVY SNOW"
"HEAVY SNOW SHOWER"
"HEAVY SNOW SQUALLS"
"HEAVY SURF"
"HEAVY SURF AND WIND"
"HEAVY SURF/HIGH SURF"
"HIGH  SWELLS"
"HIGH SEAS"
"HIGH SURF"
"HIGH SURF ADVISORIES"
"HIGH SURF ADVISORY"
"HIGH SURF ADVISORY"
"HIGH SWELLS"
"HIGH WATER"
"HIGH WIND"
"HIGH WIND (G40)"
"HIGH WINDS"
"HOT AND DRY"
"HOT SPELL"
"HOT WEATHER"
"HURRICANE"
"HURRICANE EDOUARD"
"HURRICANE/TYPHOON"
"HYPERTHERMIA/EXPOSURE"
"HYPOTHERMIA/EXPOSURE"
"ICE"
"ICE FOG"
"ICE JAM"
"ICE JAM FLOOD (MINOR"
"ICE ON ROAD"
"ICE PELLETS"
"ICE ROADS"
"ICE STORM"
"ICE/SNOW"
"ICESTORM/BLIZZARD"
"ICY ROADS"
"LAKE-EFFECT SNOW"
"LAKE EFFECT SNOW"
"LAKESHORE FLOOD"
"LANDSLIDE"
"LANDSLIDES"
"LANDSLUMP"
"LANDSPOUT"
